GPA,Grade,Gender,Gender_desc,calories_day,calories_day_desc,comfort_food_reasons_coded,comfort_food_reasons_coded_desc,cook,cook_desc,cuisine,cuisine_desc,diet_current_coded,diet_current_coded_desc,eating_out,eating_out_desc,employment,employment_desc,ethnic_food,ethnic_food_desc,exercise,exercise_desc,fav_cuisine_coded,fav_cuisine_coded_desc,fav_food,fav_food_desc,food_childhood,food_childhood_split,fruit_day,fruit_day_desc,greek_food,greek_food_desc,healthy_feeling,income,income_desc,indian_food,indian_food_desc,italian_food,italian_food_desc,marital_status,marital_status_desc,nutritional_check,nutritional_check_desc,on_off_campus,on_off_campus_desc,parents_cook,parents_cook_desc,pay_meal_out,pay_meal_out_desc,persian_food,persian_food_desc,self_perception_weight,self_perception_weight_desc,sports,sports_desc,thai_food,thai_food_desc,veggies_day,veggies_day_desc,vitamins,vitamins_desc,weight
3.8,B+,1,Female,3,it is moderately important ,1,stress,2,A couple of times a week,1,American,1,healthy/balanced/moderated/,2,1-2 times,2,yes part time,4,likely,1,Everyday,1,Italian/French/greek,3,both bought at store and cooked at home,dino chicken nuggets,dino chicken nuggets,4,likely,3,neutral,5,4,"$50,001 to $70,000",3,neutral,5,very likely,1,Single ,2,on certain products only,1,On campus,1,Almost everyday,3,$10.01 to $20.00,2,unlikely,4,slightly overweight,2,No,5,very likely,4,likely,2,No,165
3.8,B+,1,Female,2,it is not at all important ,1,stress,5,"Never, I really do not know my way around a kitchen",1,American,1,healthy/balanced/moderated/,2,1-2 times,3,no,2,unlikely,1,Everyday,1,Italian/French/greek,2,store bought,Spaghetti and chicken parm,Spaghetti and chicken parm,5,very likely,2,unlikely,6,6,"higher than $100,000",5,very likely,5,very likely,2,In a relationship ,4,on most products,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,2,unlikely,3,just right,1,Yes,2,unlikely,5,very likely,2,No,128
3.4,B,1,Female,3,it is moderately important ,1,stress,2,A couple of times a week,1,American,2,unhealthy/cheap/too much/random/,3,2-3 times,2,yes part time,2,unlikely,3,Once a week,1,Italian/French/greek,2,store bought,Chicken parm. ,Chicken parm. ,4,likely,2,unlikely,5,6,"higher than $100,000",1,very unlikely,5,very likely,1,Single ,4,on most products,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,1,very unlikely,5,overweight,2,No,2,unlikely,3,neutral,1,Yes,200
3.7,B+,1,Female,3,it is moderately important ,3,depression/sadness,3,"Whenever I can, but that is not very often",2,Mexican.Spanish,2,unhealthy/cheap/too much/random/,4,3-5 times,3,no,3,neutral,2,Twice or three times per week,1,Italian/French/greek,1,cooked at home,Spaghetti,Spaghetti,3,neutral,4,likely,8,3,"$30,001 to $50,000",3,neutral,5,very likely,2,In a relationship ,3,very rarely,2,Rent out of campus,2,2-3 times a week,4,$20.01 to $30.00,4,likely,3,just right,1,Yes,3,neutral,3,neutral,2,No,160
2.9,C+,2,Male,2,it is not at all important ,2,boredom,2,A couple of times a week,,,1,healthy/balanced/moderated/,2,1-2 times,2,yes part time,3,neutral,2,Twice or three times per week,0,none,1,cooked at home,"Pizza, Pita, Lasagna",Pizza,3,neutral,5,very likely,9,5,"$70,001 to $100,000",1,very unlikely,3,neutral,1,Single ,4,on most products,3,Live with my parents and commute,1,Almost everyday,6,more than $40.01,1,very unlikely,3,just right,2,No,1,very unlikely,3,neutral,2,No,170
3.9,B+,1,Female,4,it is very important,3,depression/sadness,1,Every day,1,American,1,healthy/balanced/moderated/,4,3-5 times,3,no,5,very likely,1,Everyday,1,Italian/French/greek,3,both bought at store and cooked at home,"Mac & Cheese, Chicken, Stir Fry ",Mac & Cheese,5,very likely,5,very likely,10,6,"higher than $100,000",5,very likely,5,very likely,2,In a relationship ,4,on most products,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,5,very likely,3,just right,2,No,5,very likely,3,neutral,2,No,129
3.6,B+,1,Female,2,it is not at all important ,2,boredom,2,A couple of times a week,1,American,2,unhealthy/cheap/too much/random/,3,2-3 times,2,yes part time,3,neutral,2,Twice or three times per week,1,Italian/French/greek,1,cooked at home,Mac and Cheese ,Mac and Cheese ,4,likely,3,neutral,9,6,"higher than $100,000",2,unlikely,5,very likely,2,In a relationship ,4,on most products,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,3,neutral,4,slightly overweight,2,No,2,unlikely,2,unlikely,2,No,170
2.8,C+,2,Male,3,it is moderately important ,3,depression/sadness,3,"Whenever I can, but that is not very often",4,Indian,2,unhealthy/cheap/too much/random/,3,2-3 times,3,no,4,likely,2,Twice or three times per week,4,asian/chineses/thai/nepal,3,both bought at store and cooked at home,"Dumplings, Chicken Curry and Pizza",Dumplings,4,likely,3,neutral,7,3,"$30,001 to $50,000",5,very likely,4,likely,2,In a relationship ,3,very rarely,1,On campus,1,Almost everyday,5,$30.01 to $40.00,3,neutral,1,slim,1,Yes,5,very likely,3,neutral,2,No,138
3.3,B,2,Male,4,it is very important,1,stress,4,I only help a little during holidays,1,American,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,2,unlikely,1,Everyday,0,none,3,both bought at store and cooked at home,"Pasta, Pizza, Popcorn",Pasta,5,very likely,1,very unlikely,10,6,"higher than $100,000",1,very unlikely,4,likely,2,In a relationship ,1,never,1,On campus,1,Almost everyday,5,$30.01 to $40.00,2,unlikely,2,very fit,1,Yes,1,very unlikely,2,unlikely,2,No,150
3.4,B,1,Female,,,2,boredom,3,"Whenever I can, but that is not very often",,,2,unhealthy/cheap/too much/random/,4,3-5 times,3,no,4,likely,2,Twice or three times per week,4,asian/chineses/thai/nepal,2,store bought,"Fry Chicken, Rice Vegetable",Fry Chicken,5,very likely,1,very unlikely,5,1,"less than $15,000",3,neutral,5,very likely,1,Single ,2,on certain products only,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,1,very unlikely,4,slightly overweight,2,No,5,very likely,5,very likely,1,Yes,170
3.77,B+,1,Female,,,5,laziness,3,"Whenever I can, but that is not very often",4,Indian,1,healthy/balanced/moderated/,2,1-2 times,2,yes part time,4,likely,,,4,asian/chineses/thai/nepal,3,both bought at store and cooked at home,"Noodle, Wings, and Tiramisu",Noodle,3,neutral,2,unlikely,9,2,"$15,001 to $30,000",2,unlikely,4,likely,1,Single ,2,on certain products only,1,On campus,1,Almost everyday,2,$5.01 to $10.00,2,unlikely,4,slightly overweight,2,No,5,very likely,3,neutral,1,Yes,113
3.63,B+,1,Female,3,it is moderately important ,1,stress,3,"Whenever I can, but that is not very often",1,American,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,4,likely,2,Twice or three times per week,5,American,1,cooked at home,Chinese,Chinese,5,very likely,3,neutral,5,3,"$30,001 to $50,000",3,neutral,5,very likely,2,In a relationship ,2,on certain products only,3,Live with my parents and commute,3,1-2 times a week,4,$20.01 to $30.00,2,unlikely,4,slightly overweight,2,No,4,likely,5,very likely,2,No,140
3.2,B,2,Male,3,it is moderately important ,7,happiness,2,A couple of times a week,5,American inspired international dishes,2,unhealthy/cheap/too much/random/,2,1-2 times,2,yes part time,5,very likely,2,Twice or three times per week,8,indian,3,both bought at store and cooked at home,"pizza, burger, pasta",pizza,5,very likely,5,very likely,7,2,"$15,001 to $30,000",5,very likely,5,very likely,2,In a relationship ,2,on certain products only,1,On campus,1,Almost everyday,3,$10.01 to $20.00,5,very likely,4,slightly overweight,1,Yes,5,very likely,5,very likely,2,No,185
3.5,B+,1,Female,4,it is very important,2,boredom,3,"Whenever I can, but that is not very often",1,American,2,unhealthy/cheap/too much/random/,2,1-2 times,1,yes full time,4,likely,2,Twice or three times per week,1,Italian/French/greek,1,cooked at home,Stromboli Mac and Cheese and Pizza,Stromboli Mac and Cheese and Pizza,5,very likely,5,very likely,5,4,"$50,001 to $70,000",3,neutral,5,very likely,1,Single ,5,on everything,3,Live with my parents and commute,1,Almost everyday,4,$20.01 to $30.00,3,neutral,4,slightly overweight,1,Yes,5,very likely,5,very likely,1,Yes,156
3,B,1,Female,2,it is not at all important ,3,depression/sadness,3,"Whenever I can, but that is not very often",,,2,unhealthy/cheap/too much/random/,4,3-5 times,3,no,3,neutral,2,Twice or three times per week,2,Spanish/mexican,1,cooked at home,"Isombe , Plantains and Ugali",Isombe ,4,likely,1,very unlikely,5,2,"$15,001 to $30,000",5,very likely,5,very likely,1,Single ,3,very rarely,1,On campus,3,1-2 times a week,4,$20.01 to $30.00,1,very unlikely,4,slightly overweight,,,4,likely,5,very likely,2,No,180
3.882,B+,1,Female,,,3,depression/sadness,3,"Whenever I can, but that is not very often",,,2,unhealthy/cheap/too much/random/,3,2-3 times,3,no,5,very likely,2,Twice or three times per week,4,asian/chineses/thai/nepal,1,cooked at home,Rice and potato,Rice and potato,4,likely,5,very likely,6,2,"$15,001 to $30,000",5,very likely,3,neutral,1,Single ,3,very rarely,1,On campus,2,2-3 times a week,4,$20.01 to $30.00,5,very likely,4,slightly overweight,2,No,5,very likely,4,likely,2,No,120
3,B,2,Male,4,it is very important,7,happiness,3,"Whenever I can, but that is not very often",1,American,1,healthy/balanced/moderated/,5,every day,2,yes part time,2,unlikely,1,Everyday,1,Italian/French/greek,3,both bought at store and cooked at home,pizza and spaghetti ,pizza and spaghetti ,5,very likely,1,very unlikely,1,4,"$50,001 to $70,000",1,very unlikely,5,very likely,1,Single ,4,on most products,1,On campus,2,2-3 times a week,3,$10.01 to $20.00,1,very unlikely,2,very fit,2,No,1,very unlikely,3,neutral,1,Yes,135
3.9,B+,1,Female,,,5,laziness,,,3,Korean/Asian,1,healthy/balanced/moderated/,1,Never,2,yes part time,3,neutral,2,Twice or three times per week,2,Spanish/mexican,1,cooked at home,"rice, beans, and chicken / pizza/ tenders",rice,3,neutral,2,unlikely,3,5,"$70,001 to $100,000",2,unlikely,3,neutral,2,In a relationship ,5,on everything,1,On campus,3,1-2 times a week,3,$10.01 to $20.00,2,unlikely,3,just right,2,No,2,unlikely,4,likely,2,No,135
